Software Name,Users,Market Segment,Rating,Product Link,Pricing,Industries,User,MarketSegment
MoEngage," Digital Marketing Manager, Product Manager"," 54% Mid-Market, 24% Small-Business",4.5 out of 5,https://www.g2.com/products/moengage/reviews,"Free Upto 10,000 Month...","Financial Services, Online Media",,"54% Mid-Market, 24% Small-Business"
Adobe Marketo Engage," Marketing Manager, Marketing Operations Manager"," 56% Mid-Market, 26% Enterprise",4.1 out of 5,https://www.g2.com/products/adobe-marketo-engage/reviews,Pricing Unavailable,"Computer Software, Marketing and Advertising",,"56% Mid-Market, 26% Enterprise"
Customer.io," Marketing Manager, Founder"," 64% Small-Business, 32% Mid-Market",4.4 out of 5,https://www.g2.com/products/customer-io/reviews,Starting at $100.00,"Computer Software, Financial Services",,"64% Small-Business, 32% Mid-Market"
HCL Unica,," 49% Enterprise, 28% Small-Business",4.2 out of 5,https://www.g2.com/products/hcl-unica/reviews,Pricing Unavailable,"Marketing and Advertising, Information Technology and Services",,"49% Enterprise, 28% Small-Business"
Netcore Customer Engagement and Experience Platform,", Digital Marketing Manager"," 47% Mid-Market, 36% Enterprise",4.5 out of 5,https://www.g2.com/products/netcore-customer-engagement-and-experience-platform/reviews,Free,"Financial Services, Banking",,"47% Mid-Market, 36% Enterprise"
Omnisend," Owner, CEO"," 92% Small-Business, 7% Mid-Market",4.6 out of 5,https://www.g2.com/products/omnisend/reviews,Pricing Unavailable,"Retail, Apparel & Fashion",,"92% Small-Business, 7% Mid-Market"
WebEngage," Product Manager, Marketing Manager"," 54% Mid-Market, 29% Small-Business",4.5 out of 5,https://www.g2.com/products/webengage/reviews,Pricing Unavailable,"Financial Services, Education Management",,"54% Mid-Market, 29% Small-Business"
GetResponse MAX," CEO, Founder"," 71% Small-Business, 21% Mid-Market",4.2 out of 5,https://www.g2.com/products/getresponse-max/reviews,Free,"Marketing and Advertising, Information Technology and Services",,"71% Small-Business, 21% Mid-Market"
Salesforce Marketing Cloud Account Engagement," Marketing Manager, Marketing Coordinator"," 50% Mid-Market, 32% Small-Business",4.0 out of 5,https://www.g2.com/products/salesforce-marketing-cloud-account-engagement/reviews,"$1,250.00","Computer Software, Information Technology and Services",,"50% Mid-Market, 32% Small-Business"
Dotdigital," Marketing Manager, Marketing Executive"," 44% Mid-Market, 42% Small-Business",4.3 out of 5,https://www.g2.com/products/dotdigital/reviews,Contact Us,"Retail, Marketing and Advertising",,"44% Mid-Market, 42% Small-Business"
Contlo,," 83% Small-Business, 16% Mid-Market",4.6 out of 5,https://www.g2.com/products/contlo-marketing/reviews,Free,"Apparel & Fashion, Consumer Goods",,"83% Small-Business, 16% Mid-Market"
ContactPigeon,", Marketing Director"," 61% Small-Business, 33% Mid-Market",4.9 out of 5,https://www.g2.com/products/contactpigeon/reviews,Pricing Unavailable,"Apparel & Fashion, Retail",,"61% Small-Business, 33% Mid-Market"
EngageBay All-in-One Suite," Founder, Marketing Manager"," 81% Small-Business, 19% Mid-Market",4.6 out of 5,https://www.g2.com/products/engagebay-all-in-one-suite/reviews,Pricing Unavailable,"Marketing and Advertising, Information Technology and Services",,"81% Small-Business, 19% Mid-Market"
AVADA," Owner, CEO"," 93% Small-Business, 7% Mid-Market",4.9 out of 5,https://www.g2.com/products/avada/reviews,Pricing Unavailable,"Retail, Apparel & Fashion",,"93% Small-Business, 7% Mid-Market"
Listrak," Digital Marketing Manager, Director of Marketing"," 57% Mid-Market, 32% Small-Business",4.5 out of 5,https://www.g2.com/products/listrak/reviews,Pricing Unavailable,"Retail, Consumer Goods",,"57% Mid-Market, 32% Small-Business"
Appier AIQUA,," 65% Mid-Market, 35% Small-Business",4.6 out of 5,https://www.g2.com/products/appier-aiqua/reviews,Pricing Unavailable,Retail,,"65% Mid-Market, 35% Small-Business"
OneSignal," Software Engineer, CEO"," 62% Small-Business, 33% Mid-Market",4.6 out of 5,https://www.g2.com/products/onesignal/reviews,Pricing Unavailable,"Computer Software, Information Technology and Services",,"62% Small-Business, 33% Mid-Market"
Dynamics 365 Marketing,," 47% Mid-Market, 34% Small-Business",4.3 out of 5,https://www.g2.com/products/dynamics-365-marketing/reviews,Pricing Unavailable,"Information Technology and Services, Marketing and Advertising",,"47% Mid-Market, 34% Small-Business"
vcita,," 89% Small-Business, 9% Mid-Market",4.6 out of 5,https://www.g2.com/products/vcita/reviews,$29.00,"Accounting, Alternative Medicine",,"89% Small-Business, 9% Mid-Market"
